,carType,year
0,ICE,2011
1,ICE,2011
2,ICE,2011
3,ICE,2011
4,ICE,2011
5,EV,2011
6,ICE,2011
7,ICE,2011
8,ICE,2011
9,ICE,2011
10,ICE,2011
11,ICE,2011
12,ICE,2011
13,ICE,2011
14,ICE,2011
15,ICE,2011
16,ICE,2011
17,ICE,2011
18,ICE,2011
19,ICE,2011
20,ICE,2012
21,ICE,2012
22,ICE,2012
23,ICE,2012
24,ICE,2012
25,ICE,2012
26,ICE,2012
27,ICE,2012
28,ICE,2012
29,ICE,2012
30,ICE,2012
31,ICE,2012
32,ICE,2012
33,ICE,2012
34,ICE,2012
35,ICE,2012
36,ICE,2012
37,ICE,2012
38,ICE,2012
39,ICE,2012
40,ICE,2013
41,ICE,2013
42,ICE,2013
43,ICE,2013
44,ICE,2013
45,ICE,2013
46,ICE,2013
47,ICE,2013
48,ICE,2013
49,ICE,2013
50,ICE,2013
51,ICE,2013
52,ICE,2013
53,ICE,2013
54,ICE,2013
55,ICE,2013
56,ICE,2013
57,ICE,2013
58,ICE,2013
59,ICE,2013
60,ICE,2014
61,ICE,2014
62,ICE,2014
63,EV,2014
64,ICE,2014
65,ICE,2014
66,ICE,2014
67,ICE,2014
68,ICE,2014
69,ICE,2014
70,ICE,2014
71,ICE,2014
72,ICE,2014
73,ICE,2014
74,ICE,2014
75,ICE,2014
76,ICE,2014
77,ICE,2014
78,ICE,2014
79,ICE,2015
80,ICE,2015
81,ICE,2015
82,ICE,2015
83,ICE,2015
84,ICE,2015
85,ICE,2015
86,ICE,2015
87,ICE,2015
88,ICE,2015
89,ICE,2015
90,ICE,2015
91,ICE,2015
92,ICE,2015
93,ICE,2015
94,ICE,2015
95,ICE,2015
96,ICE,2015
97,ICE,2016
98,ICE,2016
99,ICE,2016
100,ICE,2016
101,ICE,2016
102,ICE,2016
103,ICE,2016
104,ICE,2016
105,ICE,2016
106,ICE,2016
107,ICE,2016
108,ICE,2016
109,ICE,2016
110,ICE,2016
111,ICE,2016
112,ICE,2016
113,ICE,2016
114,ICE,2016
115,ICE,2016
116,ICE,2017
117,ICE,2017
118,ICE,2017
119,ICE,2017
120,ICE,2017
121,ICE,2017
122,ICE,2017
123,ICE,2017
124,ICE,2017
125,ICE,2017
126,ICE,2017
127,ICE,2017
128,ICE,2017
129,ICE,2017
130,ICE,2017
131,ICE,2017
132,ICE,2017
133,ICE,2017
134,ICE,2017
